,ACCNUM,ACCLASS,INVOLVED,MOTIVE,X,Y,LATITUDE,LONGITUDE,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ROAD_CLASS,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,DISTRICT,NEIGHBOURHOOD,HOOD_ID,LOCCOORD,PEOPLE_COUNT,FATAL_INJURY_COUNT,MAJOR_INJURY_COUNT,MINOR_INJURY_COUNT,NO_INJURY_COUNT,NULL_INJURY_COUNT,DRIVERS_COUNT,PEDESTRIAN_COUNT,PASSENGER_COUNT,CYCLIST_COUNT,OTHER_INVTYPE_COUNT,NULL_INVTYPE_COUNT,PEOPLE_VEH_COUNT,AUTOMOBILE_VEH_COUNT,RECREATIONAL_VEH_COUNT,OTHER_VEH_COUNT,NULL_VEH_COUNT,PEDESTRIAN,Season,Weekday,Hour
4334,5001722553,Fatal,"Automobile, City Vehicle",Not Recorded,-8816600.51878426,5435339.43263774,43.805159,-79.20087,2015-10-06 06:21:00,Autumn,2015,10,October,Tuesday,6,06:00 to 06:59,Major Arterial,Non Intersection,No Control,Clear,"Dawn, artificial",Dry,Rear End,Scarborough,Rouge (131),131,Mid-Block,2,1,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,Autumn,1,6
4342,5001750958,Fatal,"Pedestrian, Automobile","Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8854507.36574765,5416856.85289748,43.685214,-79.541393,2015-10-10 19:19:00,Autumn,2015,10,October,Saturday,19,19:00 to 19:59,Major Arterial,<Null>,No Control,Clear,Dark,Dry,Pedestrian Collisions,Etobicoke York,Willowridge-Martingrove-Richview (7),7,Intersection,3,1,0,0,2,0,2,1,0,0,0,0,0,2,0,0,0,1,Autumn,5,19
4358,5001824991,Fatal,"Pedestrian, Automobile",Not Recorded,-8846872.07319363,5416808.0547102,43.684897,-79.47280400000002,2015-10-23 14:37:00,Autumn,2015,10,October,Friday,14,14:00 to 14:59,Major Arterial,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Etobicoke York,Keelesdale-Eglinton West (110),110,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Autumn,4,14
4375,5001891795,Fatal,"Cyclist, Automobile",Not Recorded,-8860224.84611429,5420881.35887473,43.71135200000001,-79.592754,2015-11-03 17:55:00,Autumn,2015,11,November,Tuesday,17,17:00 to 17:59,Major Arterial,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Cyclist Collisions,Etobicoke York,West Humber-Clairville (1),1,Intersection,3,1,0,0,2,0,2,0,0,1,0,0,1,2,0,0,0,0,Autumn,1,17
4387,5001940328,Fatal,"Pedestrian, Automobile",Not Recorded,-8850325.31511753,5419574.87270213,43.702868,-79.503825,2015-11-11 20:04:00,Autumn,2015,11,November,Wednesday,20,20:00 to 20:59,Major Arterial,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Etobicoke York,Brookhaven-Amesbury (30),30,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Autumn,2,20
4388,5001954714,Fatal,"Pedestrian, Automobile",Not Recorded,-8841544.43368376,5419053.96213297,43.699485,-79.424945,2015-11-14 08:25:00,Autumn,2015,11,November,Saturday,8,08:00 to 08:59,Major Arterial,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Toronto and East York,Forest Hill South (101),101,Mid-Block,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Autumn,5,8
4390,5001980850,Fatal,"Pedestrian, Automobile",Not Recorded,-8818634.54852003,5425866.92402557,43.743716,-79.219142,2015-11-18 17:10:00,Autumn,2015,11,November,Wednesday,17,17:00 to 17:59,Major Arterial,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Scarborough,Scarborough Village (139),139,Mid-Block,3,1,0,0,2,0,2,1,0,0,0,0,0,2,0,0,0,1,Autumn,2,17
4397,5002013764,Fatal,"Pedestrian, Automobile","Speeding  Related Collision, Red Light Related  Collision, Aggressive and Distracted Driving Collision",-8823602.96003312,5434762.87666278,43.80142100000001,-79.263774,2015-11-24 06:03:00,Autumn,2015,11,November,Tuesday,6,06:00 to 06:59,Major Arterial,At Intersection,Traffic Signal,Snow,Dark,Wet,Pedestrian Collisions,Scarborough,Agincourt North (129),129,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Autumn,1,6
4398,5002027343,Fatal,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8839985.96081265,5419760.57834507,43.704074,-79.410945,2015-11-26 09:34:00,Autumn,2015,11,November,Thursday,9,09:00 to 09:59,Major Arterial,At Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,North York,Lawrence Park South (103),103,Intersection,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,Autumn,3,9
4400,5002032713,Fatal,"Pedestrian, Truck","Red Light Related  Collision, Aggressive and Distracted Driving Collision",-8841611.55933671,5419284.77285557,43.70098400000001,-79.42554799999998,2015-11-27 05:32:00,Autumn,2015,11,November,Friday,5,05:00 to 05:59,Major Arterial,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,North York,Forest Hill North (102),102,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,Autumn,4,5
