ID,CAMERA_ID,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,LONGITUDE,LATITUDE,ACTIVATION_TIME
182,20951,13449428.0,Weston Rd,Fenmar Dr,-79.5437619938,43.7574660031,2021-07-29 04:00:00
161,20930,13446970.0,Bathurst St,Finch Ave W,-79.443007998,43.7738590057,2021-07-29 04:00:00
190,20959,13445620.0,Steeles Ave W,Alness St,-79.4810569977,43.7847000016,2021-07-29 04:00:00
173,20942,13458216.0,Martin Grove Rd,Belfield Rd,-79.5756320006,43.7019480092,2021-07-29 04:00:00
192,20961,13464218.0,Jane St,St Clair Ave W,-79.4917669901,43.6671840047,2021-08-16 04:00:00
179,20948,13449204.0,Lawrence Ave E,McCowan Rd,-79.2454219966,43.7555480047,2021-08-16 04:00:00
185,20954,13462349.0,Kipling Ave,Widdicombe Hill,-79.5517119969,43.6789370037,2021-08-16 04:00:00
188,20957,13441919.0,Midland Ave,Copthorne Ave,-79.29493401,43.8207070059,2021-08-16 04:00:00
191,20960,13467918.0,Burnhamthorpe Rd,The West Mall,-79.5672500122,43.6445520063,2021-08-27 04:00:00
165,20934,13446827.0,McCowan Rd,Ellesmere Rd,-79.2514979952,43.7721420056,2021-08-27 04:00:00
186,20955,13449501.0,Lawrence Ave E,Brimley Rd,-79.2553669941,43.753526002,2021-08-27 04:00:00
193,20962,13448022.0,Willowdale Ave,Spring Garden Ave,-79.4009059965,43.7663430021,2021-08-27 04:00:00
194,20963,13448822.0,Markham Rd,Greencedar Crct,-79.2247089903,43.757840005,2021-08-27 04:00:00
172,20941,14134984.0,Lake Shore Blvd W,Lower Simcoe St,-79.3831869971,43.6403400048,2021-09-13 04:00:00
189,20958,13442528.0,Steeles Ave E,Don Mills Rd,-79.3607760037,43.811183997,2021-09-13 04:00:00
