INDEX_,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ACCNUM,INVTYPE,INVAGE,INJURY,DISTRICT,NEIGHBOURHOOD,VEHTYPE,VEHICLE_CATEGORY,ALCOHOL
7491330,2012-10-10 14:29:00,Autumn,2012,10,October,Wednesday,14,14:00 to 14:59,1326517,Pedestrian,70 to 74,Major,Scarborough,Tam O'Shanter-Sullivan (118),Other,Other,<Null>
7470011,2012-08-22 07:55:00,Summer,2012,8,August,Wednesday,07,07:00 to 07:59,1317446,Driver,25 to 29,Major,Etobicoke York,Beechborough-Greenbrook (112),"Automobile, Station Wagon",Automobile,<Null>
7419161,2012-04-02 15:20:00,Spring,2012,4,April,Monday,15,15:00 to 15:59,1296063,Motorcycle Driver,25 to 29,Major,Scarborough,Clairlea-Birchmount (120),Motorcycle,Recreational,<Null>
7542006,2012-03-05 12:14:00,Winter,2012,3,March,Monday,12,12:00 to 12:59,1291754,Pedestrian,unknown,Major,Toronto and East York,Taylor-Massey (61),Other,Other,<Null>
7445421,2012-06-24 00:54:00,Summer,2012,6,June,Sunday,00,00:00 to 00:59,1307048,Vehicle Owner,unknown,<Null>,Toronto and East York,Casa Loma (96),Other,Other,<Null>
7492345,2012-10-11 07:39:00,Autumn,2012,10,October,Thursday,07,07:00 to 07:59,1326942,Driver,50 to 54,None,Toronto and East York,Trinity-Bellwoods (81),Taxi,Automobile,<Null>
7389757,2012-03-07 15:32:00,Winter,2012,3,March,Wednesday,15,15:00 to 15:59,1283446,Vehicle Owner,unknown,<Null>,Toronto and East York,The Beaches (63),Other,Other,<Null>
7440701,2012-06-03 19:15:00,Spring,2012,6,June,Sunday,19,19:00 to 19:59,1305179,Motorcycle Driver,40 to 44,Major,Scarborough,Centennial Scarborough (133),Motorcycle,Recreational,<Null>
7445422,2012-06-24 00:54:00,Summer,2012,6,June,Sunday,00,00:00 to 00:59,1307048,Driver,40 to 44,None,Toronto and East York,Casa Loma (96),Municipal Transit Bus (TTC),Other,<Null>
7559313,2012-04-03 02:30:00,Spring,2012,4,April,Tuesday,02,02:00 to 02:59,1287084,Passenger,20 to 24,Fatal,North York,Mount Pleasant East (99),Other,Other,Yes
7455968,2012-08-23 12:39:00,Summer,2012,8,August,Thursday,12,12:00 to 12:59,1311482,Vehicle Owner,unknown,<Null>,Scarborough,Bendale (127),Other,Other,<Null>
7492244,2012-10-11 13:12:00,Autumn,2012,10,October,Thursday,13,13:00 to 13:59,1326902,Driver,70 to 74,Major,Etobicoke York,Weston (113),"Automobile, Station Wagon",Automobile,<Null>
